#SUBMITTED ID	FBID_KEY	ANNOTATION_SYMBOL	CYTOGENETIC_MAP	GO_BIOLOGICAL_PROCESS	GO_CELLULAR_COMPONENT	GO_MOLECULAR_FUNCTION	LOCATION_ARM	LOCATION_MAX	LOCATION_MIN	LOCATION_STRAND	NAME	RECOMBINATION_MAP	REFSEQ_POLYPEPTIDE	REFSEQ_TRANSCRIPT	SYMBOL
FBgn0004777	FBgn0004777	CG2342	84A2-84A2	chitin-based cuticle development ; GO:0040003 | inferred from sequence model	extracellular matrix ; GO:0031012 | inferred from sequence model	structural constituent of cuticle ; GO:0042302 | inferred from electronic annotation with InterPro:IPR000618 <newline> structural constituent of chitin-based larval cuticle ; GO:0008010 | inferred from sequence model	3R	6688039	6686728	1	Ccp84Ag	3-48	REFSEQ:NP_649677	REFSEQ:NM_141420	Ccp84Ag
FBgn0010213	FBgn0010213	CG8905	53D8-53D8	oxidation-reduction process ; GO:0055114 | inferred from electronic annotation with InterPro:IPR001189, InterPro:IPR019831, InterPro:IPR019832, InterPro:IPR019833 <newline> heart morphogenesis ; GO:0003007 | inferred from mutant phenotype <newline> removal of superoxide radicals ; GO:0019430 | inferred from sequence or structural similarity with UniProtKB:P04179 <newline> regulation of hemocyte proliferation ; GO:0035206 | inferred from mutant phenotype <newline> regulation of autophagy of mitochondrion ; GO:1903146 | inferred from genetic interaction with park <newline> reactive oxygen species metabolic process ; GO:0072593 | inferred from mutant phenotype <newline> determination of adult lifespan ; GO:0008340 | inferred from mutant phenotype <newline> determination of adult lifespan ; GO:0008340 | traceable author statement <newline> regulation of metabolic process ; GO:0019222 | inferred from mutant phenotype <newline> paracrine signaling ; GO:0038001 | inferred from mutant phenotype	mitochondrial matrix ; GO:0005759 | inferred from sequence or structural similarity with UniProtKB:P04179	metal ion binding ; GO:0046872 | inferred from electronic annotation with InterPro:IPR001189, InterPro:IPR019831, InterPro:IPR019832, InterPro:IPR019833 <newline> antioxidant activity ; GO:0016209 | non-traceable author statement <newline> superoxide dismutase activity ; GO:0004784 | inferred from sequence or structural similarity with UniProtKB:P04179	2R	16773915	16772785	-1	Superoxide dismutase 2 (Mn)	2-80	REFSEQ:NP_476925 <newline> REFSEQ:NP_001286503	REFSEQ:NM_057577 <newline> REFSEQ:NM_001299574	Sod2
FBgn0010282	FBgn0010282	CG10281	83E5-83E5	positive regulation of transcription elongation from RNA polymerase II promoter ; GO:0032968 | inferred from electronic annotation with InterPro:IPR008851 <newline> transcription elongation from RNA polymerase II promoter ; GO:0006368 | inferred from direct assay <newline> transcription initiation from RNA polymerase II promoter ; GO:0006367 | inferred from direct assay <newline> transcription initiation from RNA polymerase II promoter ; GO:0006367 | inferred from sequence or structural similarity with HGNC:4652 inferred from sequence or structural similarity with SGD:S000003418 <newline> positive regulation of transcription from RNA polymerase II promoter ; GO:0045944 | inferred from direct assay	transcription factor TFIIF complex ; GO:0005674 | inferred from sequence or structural similarity with HGNC:4652 inferred from sequence or structural similarity with SGD:S000003418 <newline> transcription factor TFIIF complex ; GO:0005674 | inferred from direct assay <newline> nucleus ; GO:0005634 | inferred from direct assay	DNA binding ; GO:0003677 | inferred from electronic annotation with InterPro:IPR008851 <newline> TFIIF-class transcription factor binding ; GO:0001096 | inferred from physical interaction with TfIIFβ	3R	6382604	6380467	1	Transcription factor IIFalpha	3-47.5	REFSEQ:NP_524246	REFSEQ:NM_079522	TfIIFalpha
FBgn0011296	FBgn0011296	CG4533	59F6-59F6	chaperone-mediated protein folding ; GO:0061077 | inferred from sequence model <newline> sarcomere organization ; GO:0045214 | inferred from mutant phenotype <newline> protein refolding ; GO:0042026 | inferred from direct assay <newline> response to heat ; GO:0009408 | inferred from direct assay <newline> regulation of translational initiation by eIF2 alpha phosphorylation ; GO:0010998 | inferred from mutant phenotype	Z disc ; GO:0030018 | inferred from direct assay <newline> perinuclear region of cytoplasm ; GO:0048471 | inferred from direct assay	unfolded protein binding ; GO:0051082 | inferred from sequence model	2R	23685543	23684651	-1	lethal (2) essential for life	2-104	REFSEQ:NP_523827 <newline> REFSEQ:NP_001261156	REFSEQ:NM_079103 <newline> REFSEQ:NM_001274227	l(2)efl
FBgn0011705	FBgn0011705	CG9552	29F6-29F7	myoblast fusion ; GO:0007520 | traceable author statement <newline> myoblast fusion ; GO:0007520 | inferred from mutant phenotype	membrane ; GO:0016020 | inferred from direct assay	molecular_function ; GO:0003674 | no biological data available	2L	8989539	8985936	-1	rolling stone	2-34	REFSEQ:NP_723435 <newline> REFSEQ:NP_001260274 <newline> REFSEQ:NP_001260275	REFSEQ:NM_164842 <newline> REFSEQ:NM_001273345 <newline> REFSEQ:NM_001273346	rost
FBgn0011746	FBgn0011746	CG8084	45A1-45A1	-	-	-	2R	9077554	9062295	1	anachronism	2-60	REFSEQ:NP_477038 <newline> REFSEQ:NP_001163093 <newline> REFSEQ:NP_001286226	REFSEQ:NM_057690 <newline> REFSEQ:NM_001169622 <newline> REFSEQ:NM_001299297	ana
FBgn0013949	FBgn0013949	CG7021	96B1-96B1	response to nicotine ; GO:0035094 | inferred from expression pattern	cellular_component ; GO:0005575 | no biological data available	molecular_function ; GO:0003674 | no biological data available	3R	24867651	24865350	1	Elastin-like	3-86	REFSEQ:NP_524491 <newline> REFSEQ:NP_733055 <newline> REFSEQ:NP_001262933	REFSEQ:NM_079767 <newline> REFSEQ:NM_170176 <newline> REFSEQ:NM_001276004	Elal
FBgn0014135	FBgn0014135	CG4608	92B2-92B3	cytoneme assembly ; GO:0035231 | inferred from direct assay <newline> positive chemotaxis ; GO:0050918 | traceable author statement <newline> genital disc development ; GO:0035215 | inferred from expression pattern <newline> epithelial cell migration, open tracheal system ; GO:0007427 | traceable author statement <newline> open tracheal system development ; GO:0007424 | non-traceable author statement <newline> terminal branching, open tracheal system ; GO:0007430 | inferred from mutant phenotype <newline> regulation of epithelial cell migration, open tracheal system ; GO:2000274 | inferred from mutant phenotype <newline> terminal branching, open tracheal system ; GO:0007430 | traceable author statement <newline> primary branching, open tracheal system ; GO:0007428 | traceable author statement <newline> morphogenesis of a branching structure ; GO:0001763 | traceable author statement <newline> glial cell migration ; GO:0008347 | inferred from mutant phenotype <newline> regulation of tube architecture, open tracheal system ; GO:0035152 | traceable author statement <newline> open tracheal system development ; GO:0007424 | inferred from mutant phenotype <newline> tracheal outgrowth, open tracheal system ; GO:0007426 | traceable author statement <newline> open tracheal system development ; GO:0007424 | traceable author statement <newline> fibroblast growth factor receptor signaling pathway ; GO:0008543 | traceable author statement <newline> filopodium assembly ; GO:0046847 | inferred from mutant phenotype <newline> fibroblast growth factor receptor signaling pathway ; GO:0008543 | non-traceable author statement <newline> secondary branching, open tracheal system ; GO:0007429 | traceable author statement <newline> chemotaxis ; GO:0006935 | traceable author statement <newline> activation of MAPK activity ; GO:0000187 | inferred from expression pattern	extracellular region ; GO:0005576 | inferred from sequence or structural similarity	growth factor activity ; GO:0008083 | inferred from electronic annotation with InterPro:IPR002209 <newline> fibroblast growth factor receptor binding ; GO:0005104 | traceable author statement	3R	19836817	19794073	-1	branchless	3-67	REFSEQ:NP_732452 <newline> REFSEQ:NP_001138083 <newline> REFSEQ:NP_001287411	REFSEQ:NM_169874 <newline> REFSEQ:NM_001144611 <newline> REFSEQ:NM_001300482	bnl
FBgn0014869	FBgn0014869	CG1721	98F12-98F13	glycolytic process ; GO:0006096 | inferred from biological aspect of ancestor with PANTHER:PTN000231842 <newline> regulation of pentose-phosphate shunt ; GO:0043456 | inferred from biological aspect of ancestor with PANTHER:PTN000231842 <newline> myoblast fusion ; GO:0007520 | inferred from mutant phenotype <newline> somatic muscle development ; GO:0007525 | inferred from mutant phenotype <newline> gluconeogenesis ; GO:0006094 | inferred from biological aspect of ancestor with PANTHER:PTN000231842	Z disc ; GO:0030018 | inferred from direct assay <newline> cytosol ; GO:0005829 | inferred from biological aspect of ancestor with PANTHER:PTN000231842 <newline> M band ; GO:0031430 | inferred from direct assay	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity ; GO:0046538 | inferred from biological aspect of ancestor with PANTHER:PTN000231842	3R	29149901	29148248	1	Phosphoglyceromutase	3-97	REFSEQ:NP_524546 <newline> REFSEQ:NP_001034076 <newline> REFSEQ:NP_001034075	REFSEQ:NM_079822 <newline> REFSEQ:NM_001038987 <newline> REFSEQ:NM_001038986	Pglym78
FBgn0014879	FBgn0014879	CG4299	88E8-88E8	nucleosome assembly ; GO:0006334 | inferred from electronic annotation with InterPro:IPR002164	nucleus ; GO:0005634 | inferred from electronic annotation with InterPro:IPR002164	-	3R	15265253	15263552	1	Set	3-56	REFSEQ:NP_650438	REFSEQ:NM_142181	Set
FBgn0015372	FBgn0015372	CG3870	59E2-59E2	vesicle-mediated transport ; GO:0016192 | inferred from sequence or structural similarity with Rab11 <newline> Rab protein signal transduction ; GO:0032482 | inferred from sequence or structural similarity with Rab11 <newline> peripheral nervous system development ; GO:0007422 | inferred from mutant phenotype	synapse ; GO:0045202 | inferred from high throughput direct assay <newline> recycling endosome ; GO:0055037 | inferred from high throughput direct assay <newline> vesicle ; GO:0031982 | inferred from sequence or structural similarity with Rab11	GTP binding ; GO:0005525 | inferred from electronic annotation with InterPro:IPR001806, InterPro:IPR003579, InterPro:IPR005225 <newline> GTPase activity ; GO:0003924 | traceable author statement <newline> GTPase activity ; GO:0003924 | inferred from sequence or structural similarity with Rab11	2R	23523613	23519839	-1	RabX1	2-103	REFSEQ:NP_524713	REFSEQ:NM_079974	RabX1
